customer_id,customer_age,customer_gender,customer_segment,registration_date
CUST00001,56,Female,Mass,2025-08-31
CUST00002,69,Male,Premium,2021-08-26
CUST00003,46,Female,Mass,2022-11-02
CUST00004,32,Male,Business,2025-09-25
CUST00005,60,Male,Premium,2024-04-05
CUST00006,25,Male,Premium,2024-06-03
CUST00007,38,Female,Mass,2023-05-29
CUST00008,56,Female,Mass,2021-09-08
CUST00009,36,Female,Premium,2024-07-27
CUST00010,40,Female,Mass,2022-04-21
CUST00011,28,Male,Mass,2022-05-13
CUST00012,28,Female,Mass,2023-09-05
CUST00013,41,Female,Mass,2025-10-23
CUST00014,70,Male,Mass,2025-04-08
CUST00015,53,Female,Mass,2023-09-24
CUST00016,57,Male,Mass,2022-12-02
CUST00017,41,Male,Mass,2024-12-05
CUST00018,20,Male,Mass,2023-02-23
CUST00019,39,Male,Mass,2022-03-05
CUST00020,70,Female,Mass,2022-06-23
CUST00021,19,Male,Premium,2023-06-20
CUST00022,41,Male,Premium,2025-01-06
CUST00023,61,Male,Premium,2023-08-26
CUST00024,47,Female,Premium,2021-07-29
CUST00025,55,Female,Mass,2025-04-20
CUST00026,19,Male,Mass,2025-09-30
CUST00027,38,Male,Mass,2022-05-06
CUST00028,50,Male,Mass,2022-04-16
CUST00029,29,Female,Mass,2025-09-06
CUST00030,39,Female,Mass,2025-10-20
CUST00031,61,Male,Premium,2022-07-22
CUST00032,42,Male,Mass,2022-10-26
CUST00033,66,Female,Mass,2025-01-26
CUST00034,44,Female,Business,2022-07-04
CUST00035,59,Male,Premium,2025-02-09
CUST00036,45,Male,Mass,2021-07-17
CUST00037,33,Male,Premium,2022-06-05
CUST00038,32,Female,Mass,2025-03-03
CUST00039,64,Female,Premium,2025-03-15
CUST00040,68,Female,Mass,2025-09-10
CUST00041,61,Female,Mass,2024-09-10
CUST00042,69,Male,Premium,2022-11-19
CUST00043,20,Female,Mass,2022-04-12
CUST00044,54,Female,Mass,2025-12-02
CUST00045,68,Male,Mass,2022-08-19
CUST00046,24,Female,Mass,2021-05-19
CUST00047,38,Male,Business,2023-10-12
CUST00048,26,Male,Mass,2021-08-30
CUST00049,56,Female,Mass,2021-11-12
CUST00050,35,Female,Premium,2022-10-29
CUST00051,21,Female,Mass,2023-01-03
CUST00052,42,Male,Mass,2021-05-15
CUST00053,31,Female,Mass,2024-04-26
CUST00054,67,Female,Business,2025-09-10
CUST00055,26,Male,Mass,2022-08-02
CUST00056,43,Other,Mass,2023-12-29
CUST00057,70,Female,Mass,2022-03-15
CUST00058,19,Male,Mass,2021-03-18
CUST00059,37,Female,Mass,2022-02-04
CUST00060,45,Male,Premium,2022-01-09
CUST00061,64,Male,Business,2023-11-02
CUST00062,24,Male,Mass,2025-02-19
CUST00063,61,Other,Mass,2025-12-24
CUST00064,25,Male,Business,2023-01-28
CUST00065,64,Female,Mass,2023-01-19
CUST00066,52,Male,Mass,2023-02-03
CUST00067,31,Female,Premium,2022-02-21
CUST00068,34,Female,Premium,2021-07-26
CUST00069,53,Female,Mass,2021-12-07
CUST00070,67,Male,Mass,2025-07-02
CUST00071,57,Female,Mass,2022-12-22
CUST00072,21,Other,Mass,2021-11-07
CUST00073,19,Female,Premium,2024-08-24
CUST00074,23,Female,Mass,2024-08-09
CUST00075,59,Female,Mass,2022-09-17
CUST00076,21,Male,Mass,2024-10-31
CUST00077,46,Female,Mass,2025-03-31
CUST00078,35,Female,Mass,2024-09-25
CUST00079,43,Male,Premium,2021-03-24
CUST00080,61,Male,Mass,2025-05-20
CUST00081,51,Male,Mass,2025-01-15
CUST00082,27,Female,Mass,2023-10-24
CUST00083,53,Female,Premium,2025-01-19
CUST00084,31,Male,Mass,2023-05-23
CUST00085,48,Male,Mass,2021-08-24
CUST00086,65,Male,Mass,2022-01-24
CUST00087,32,Male,Mass,2022-01-28
CUST00088,25,Male,Premium,2025-07-23
CUST00089,31,Female,Mass,2025-11-18
CUST00090,40,Male,Premium,2023-01-17
CUST00091,57,Female,Premium,2021-01-30
CUST00092,38,Female,Business,2025-05-26
CUST00093,33,Male,Mass,2023-09-09
CUST00094,62,Female,Mass,2024-03-17
CUST00095,35,Female,Mass,2022-08-28
CUST00096,64,Female,Mass,2021-10-10
CUST00097,70,Male,Premium,2025-10-19
CUST00098,41,Male,Premium,2021-08-26
CUST00099,43,Male,Premium,2025-10-29
CUST00100,42,Male,Mass,2023-01-01
CUST00101,62,Male,Mass,2024-09-04
CUST00102,58,Male,Mass,2024-09-22
CUST00103,46,Male,Premium,2021-01-31
CUST00104,32,Male,Mass,2023-09-05
CUST00105,62,Male,Mass,2023-07-04
CUST00106,18,Male,Mass,2025-07-08
CUST00107,42,Other,Business,2025-06-26
CUST00108,24,Male,Mass,2025-06-17
CUST00109,26,Female,Premium,2021-07-26
CUST00110,41,Male,Premium,2023-06-22
CUST00111,18,Female,Mass,2024-06-06
CUST00112,61,Male,Mass,2022-08-06
CUST00113,25,Female,Mass,2024-09-27
CUST00114,41,Female,Mass,2022-04-05
CUST00115,28,Male,Premium,2021-05-16
CUST00116,68,Female,Mass,2023-09-05
CUST00117,34,Female,Mass,2021-10-11
CUST00118,25,Male,Mass,2023-04-30
CUST00119,52,Female,Mass,2021-12-17
CUST00120,52,Female,Mass,2021-01-17
CUST00121,50,Male,Mass,2024-05-23
CUST00122,22,Male,Mass,2024-11-19
CUST00123,59,Female,Mass,2024-11-23
CUST00124,56,Female,Mass,2022-02-18
CUST00125,58,Female,Mass,2024-06-21
CUST00126,45,Female,Mass,2024-01-24
CUST00127,24,Male,Premium,2025-07-15
CUST00128,26,Female,Mass,2021-01-06
CUST00129,25,Male,Mass,2023-02-19
CUST00130,29,Male,Mass,2021-03-28
CUST00131,51,Female,Mass,2021-07-08
CUST00132,50,Female,Mass,2025-06-27
CUST00133,65,Male,Business,2025-06-28
CUST00134,40,Female,Premium,2022-02-24
CUST00135,41,Male,Mass,2023-12-27
CUST00136,54,Male,Mass,2025-06-30
CUST00137,52,Female,Mass,2021-09-05
CUST00138,61,Male,Mass,2023-05-10
CUST00139,57,Male,Mass,2021-07-26
CUST00140,39,Male,Business,2024-05-13
CUST00141,44,Female,Mass,2024-09-04
CUST00142,52,Male,Mass,2024-01-12
CUST00143,18,Male,Business,2022-02-28
CUST00144,52,Female,Premium,2024-01-11
CUST00145,54,Female,Business,2025-12-28
CUST00146,64,Male,Mass,2022-07-03
CUST00147,31,Female,Mass,2025-10-15
CUST00148,20,Male,Premium,2022-05-02
CUST00149,18,Female,Mass,2021-05-13
CUST00150,22,Male,Mass,2021-04-25
CUST00151,43,Male,Premium,2022-01-12
