device_id,device_type,os_version,app_version
DEV00001,Web,iOS 17,v4.2
DEV00002,Android,iOS 17,v4.1
DEV00003,Web,iOS 18,v4.1
DEV00004,POS,macOS,v4.1
DEV00005,Android,Windows 11,v4.3
DEV00006,Web,Windows 11,v4.1
DEV00007,Android,Android 13,v5.1
DEV00008,Android,Android 13,v4.1
DEV00009,POS,Android 14,v4.2
DEV00010,Android,iOS 18,v4.2
DEV00011,Android,iOS 18,v4.2
DEV00012,iOS,Android 15,v4.1
DEV00013,Android,Android 15,v5.0
DEV00014,iOS,Android 15,v4.2
DEV00015,Android,Android 13,v4.1
DEV00016,Android,Android 14,v4.2
DEV00017,Android,Android 14,v4.3
DEV00018,iOS,Windows 11,v4.3
DEV00019,iOS,iOS 17,v4.1
DEV00020,iOS,Android 14,v4.2
DEV00021,iOS,macOS,v4.2
DEV00022,Android,Android 15,v5.1
DEV00023,Web,iOS 18,v4.2
DEV00024,Android,iOS 17,v5.0
DEV00025,Android,Windows 11,v4.3
DEV00026,Web,Android 13,v4.2
DEV00027,Android,Android 14,v5.0
DEV00028,iOS,Windows 11,v4.1
DEV00029,Android,iOS 18,v4.3
DEV00030,iOS,Android 15,v4.1
DEV00031,Android,Android 13,v4.2
DEV00032,POS,Android 13,v4.1
DEV00033,Android,Android 14,v4.3
DEV00034,iOS,macOS,v4.1
DEV00035,Web,iOS 18,v4.1
DEV00036,iOS,Android 15,v4.1
DEV00037,iOS,Android 15,v5.0
DEV00038,iOS,Android 15,v5.0
DEV00039,iOS,Android 15,v4.2
DEV00040,Web,Android 14,v4.1
DEV00041,Android,Windows 11,v5.0
DEV00042,Web,Windows 11,v4.3
DEV00043,iOS,Windows 11,v4.3
DEV00044,Web,Android 14,v4.1
DEV00045,Android,iOS 18,v4.2
DEV00046,Web,macOS,v5.0
DEV00047,Android,iOS 17,v5.0
DEV00048,Web,Android 14,v5.0
DEV00049,Android,Android 15,v4.2
DEV00050,Web,Windows 11,v5.1
DEV00051,iOS,Windows 11,v5.0
DEV00052,Android,iOS 18,v4.1
DEV00053,iOS,Android 15,v5.0
DEV00054,Android,Android 14,v5.0
DEV00055,iOS,Windows 11,v5.1
DEV00056,Web,iOS 18,v4.1
DEV00057,Android,macOS,v4.1
DEV00058,iOS,Android 15,v4.1
DEV00059,iOS,Windows 11,v5.0
DEV00060,Android,iOS 17,v5.0
DEV00061,POS,Android 13,v4.3
DEV00062,iOS,Android 13,v5.1
DEV00063,Android,Windows 11,v4.1
DEV00064,Android,Android 15,v4.1
DEV00065,iOS,Windows 11,v4.3
DEV00066,Android,macOS,v5.0
DEV00067,Android,Android 13,v4.3
DEV00068,Android,Windows 11,v4.3
DEV00069,iOS,Windows 11,v5.0
DEV00070,iOS,iOS 17,v4.2
DEV00071,Android,Windows 11,v5.1
DEV00072,iOS,macOS,v4.2
DEV00073,POS,iOS 17,v4.2
DEV00074,POS,Android 15,v5.1
DEV00075,Web,iOS 17,v4.2
DEV00076,Web,Android 13,v5.0
DEV00077,Android,Android 15,v4.2
DEV00078,Android,macOS,v4.2
DEV00079,iOS,Windows 11,v4.2
DEV00080,iOS,Android 13,v5.0
DEV00081,Web,iOS 17,v4.3
DEV00082,Android,iOS 17,v4.1
DEV00083,iOS,iOS 18,v5.1
DEV00084,iOS,Android 14,v5.1
DEV00085,iOS,macOS,v5.0
DEV00086,iOS,macOS,v4.1
DEV00087,Android,Windows 11,v4.2
DEV00088,POS,Android 14,v5.1
DEV00089,iOS,Android 15,v4.2
DEV00090,iOS,Android 13,v5.0
DEV00091,Android,Android 14,v5.0
DEV00092,iOS,Android 15,v5.0
DEV00093,Android,iOS 17,v4.3
DEV00094,Android,Android 14,v5.0
DEV00095,Android,Android 13,v4.2
DEV00096,Android,iOS 18,v4.3
DEV00097,iOS,macOS,v4.2
DEV00098,Android,iOS 18,v5.0
DEV00099,Web,Android 14,v4.3
DEV00100,Android,iOS 18,v4.1
DEV00101,Android,Android 15,v5.0
DEV00102,Web,Windows 11,v4.3
DEV00103,Android,Android 13,v4.3
DEV00104,Android,iOS 17,v4.3
DEV00105,Android,Android 13,v5.1
DEV00106,Web,iOS 17,v4.3
DEV00107,Web,iOS 18,v4.1
DEV00108,Android,Android 15,v5.0
DEV00109,iOS,iOS 17,v5.0
DEV00110,iOS,macOS,v5.0
DEV00111,POS,iOS 18,v4.3
DEV00112,Android,iOS 17,v5.0
DEV00113,Web,Android 14,v4.1
DEV00114,Android,Android 13,v5.1
DEV00115,Android,Windows 11,v4.1
DEV00116,Android,Windows 11,v5.1
DEV00117,Web,Android 15,v5.0
DEV00118,iOS,iOS 18,v4.2
DEV00119,iOS,Android 15,v5.1
DEV00120,Web,Android 13,v4.1
DEV00121,iOS,Windows 11,v4.1
DEV00122,Web,iOS 17,v4.2
DEV00123,Android,iOS 17,v5.1
DEV00124,Android,Android 15,v5.1
DEV00125,Android,iOS 17,v4.1
DEV00126,Android,iOS 17,v5.1
DEV00127,Web,macOS,v4.2
