merchant_id,merchant_name,merchant_category,merchant_segment
MER0001,Merchant_0001,Healthcare,Medium
MER0002,Merchant_0002,Services,Small
MER0003,Merchant_0003,Entertainment,Large
MER0004,Merchant_0004,Education,Small
MER0005,Merchant_0005,Healthcare,Small
MER0006,Merchant_0006,Education,Medium
MER0007,Merchant_0007,Grocery,Medium
MER0008,Merchant_0008,Services,Small
MER0009,Merchant_0009,Retail,Small
MER0010,Merchant_0010,Retail,Small
MER0011,Merchant_0011,Utilities,Medium
MER0012,Merchant_0012,Food & Dining,Small
MER0013,Merchant_0013,Food & Dining,Medium
MER0014,Merchant_0014,E-commerce,Medium
MER0015,Merchant_0015,Education,Medium
MER0016,Merchant_0016,Travel,Medium
MER0017,Merchant_0017,Travel,Medium
MER0018,Merchant_0018,Entertainment,Small
MER0019,Merchant_0019,Education,Small
MER0020,Merchant_0020,Grocery,Small
MER0021,Merchant_0021,E-commerce,Medium
MER0022,Merchant_0022,Grocery,Medium
MER0023,Merchant_0023,Utilities,Small
MER0024,Merchant_0024,Travel,Large
MER0025,Merchant_0025,Services,Medium
MER0026,Merchant_0026,Retail,Medium
MER0027,Merchant_0027,Retail,Small
MER0028,Merchant_0028,E-commerce,Small
MER0029,Merchant_0029,Travel,Medium
MER0030,Merchant_0030,Retail,Small
MER0031,Merchant_0031,Food & Dining,Medium
MER0032,Merchant_0032,Food & Dining,Enterprise
MER0033,Merchant_0033,Entertainment,Medium
MER0034,Merchant_0034,Education,Medium
MER0035,Merchant_0035,Utilities,Medium
MER0036,Merchant_0036,Entertainment,Small
MER0037,Merchant_0037,Retail,Large
MER0038,Merchant_0038,Food & Dining,Large
MER0039,Merchant_0039,E-commerce,Medium
MER0040,Merchant_0040,Travel,Small
MER0041,Merchant_0041,Food & Dining,Small
MER0042,Merchant_0042,Healthcare,Small
MER0043,Merchant_0043,Utilities,Medium
MER0044,Merchant_0044,Retail,Small
MER0045,Merchant_0045,Grocery,Medium
MER0046,Merchant_0046,Entertainment,Medium
MER0047,Merchant_0047,Retail,Small
MER0048,Merchant_0048,Healthcare,Medium
MER0049,Merchant_0049,Services,Small
MER0050,Merchant_0050,Utilities,Large
MER0051,Merchant_0051,Education,Small
MER0052,Merchant_0052,Food & Dining,Small
MER0053,Merchant_0053,Entertainment,Small
MER0054,Merchant_0054,Food & Dining,Enterprise
MER0055,Merchant_0055,Healthcare,Medium
MER0056,Merchant_0056,Entertainment,Small
MER0057,Merchant_0057,Grocery,Small
MER0058,Merchant_0058,Services,Medium
MER0059,Merchant_0059,Travel,Small
MER0060,Merchant_0060,Grocery,Enterprise
MER0061,Merchant_0061,Entertainment,Large
MER0062,Merchant_0062,Food & Dining,Medium
MER0063,Merchant_0063,E-commerce,Enterprise
MER0064,Merchant_0064,Education,Small
MER0065,Merchant_0065,Retail,Small
MER0066,Merchant_0066,Services,Small
MER0067,Merchant_0067,Utilities,Small
MER0068,Merchant_0068,Entertainment,Enterprise
MER0069,Merchant_0069,Retail,Small
MER0070,Merchant_0070,Food & Dining,Large
MER0071,Merchant_0071,Food & Dining,Medium
MER0072,Merchant_0072,Food & Dining,Small
MER0073,Merchant_0073,Entertainment,Small
MER0074,Merchant_0074,Education,Small
MER0075,Merchant_0075,Grocery,Small
MER0076,Merchant_0076,Healthcare,Medium
MER0077,Merchant_0077,Education,Medium
MER0078,Merchant_0078,Grocery,Medium
MER0079,Merchant_0079,Retail,Medium
MER0080,Merchant_0080,Travel,Small
MER0081,Merchant_0081,Travel,Small
MER0082,Merchant_0082,Travel,Large
MER0083,Merchant_0083,Retail,Small
MER0084,Merchant_0084,Food & Dining,Small
MER0085,Merchant_0085,Entertainment,Medium
MER0086,Merchant_0086,Travel,Large
MER0087,Merchant_0087,Grocery,Large
MER0088,Merchant_0088,Utilities,Small
MER0089,Merchant_0089,Retail,Medium
MER0090,Merchant_0090,E-commerce,Small
MER0091,Merchant_0091,Healthcare,Large
MER0092,Merchant_0092,Grocery,Small
MER0093,Merchant_0093,Travel,Small
MER0094,Merchant_0094,Food & Dining,Large
MER0095,Merchant_0095,Entertainment,Large
MER0096,Merchant_0096,Education,Medium
MER0097,Merchant_0097,E-commerce,Small
MER0098,Merchant_0098,Travel,Medium
MER0099,Merchant_0099,Food & Dining,Large
MER0100,Merchant_0100,Entertainment,Medium
MER0101,Merchant_0101,Education,Small
MER0102,Merchant_0102,Healthcare,Small
MER0103,Merchant_0103,Services,Large
MER0104,Merchant_0104,Entertainment,Medium
MER0105,Merchant_0105,Healthcare,Medium
MER0106,Merchant_0106,E-commerce,Small
MER0107,Merchant_0107,Travel,Medium
MER0108,Merchant_0108,Retail,Enterprise
MER0109,Merchant_0109,Services,Small
MER0110,Merchant_0110,Healthcare,Medium
MER0111,Merchant_0111,Retail,Small
MER0112,Merchant_0112,Retail,Small
MER0113,Merchant_0113,Retail,Medium
MER0114,Merchant_0114,Retail,Large
MER0115,Merchant_0115,Utilities,Medium
MER0116,Merchant_0116,Grocery,Small
MER0117,Merchant_0117,E-commerce,Small
MER0118,Merchant_0118,Entertainment,Large
MER0119,Merchant_0119,Food & Dining,Small
MER0120,Merchant_0120,E-commerce,Large
MER0121,Merchant_0121,Travel,Small
MER0122,Merchant_0122,Entertainment,Large
MER0123,Merchant_0123,Food & Dining,Large
MER0124,Merchant_0124,Healthcare,Small
MER0125,Merchant_0125,Travel,Medium
MER0126,Merchant_0126,Education,Small
MER0127,Merchant_0127,E-commerce,Small
MER0128,Merchant_0128,Healthcare,Medium
MER0129,Merchant_0129,Retail,Medium
MER0130,Merchant_0130,Healthcare,Small
MER0131,Merchant_0131,Healthcare,Medium
MER0132,Merchant_0132,E-commerce,Small
MER0133,Merchant_0133,Utilities,Small
MER0134,Merchant_0134,Healthcare,Medium
MER0135,Merchant_0135,Healthcare,Medium
MER0136,Merchant_0136,Grocery,Medium
MER0137,Merchant_0137,E-commerce,Medium
MER0138,Merchant_0138,Travel,Large
MER0139,Merchant_0139,Entertainment,Medium
MER0140,Merchant_0140,Services,Small
MER0141,Merchant_0141,Education,Medium
MER0142,Merchant_0142,Healthcare,Medium
MER0143,Merchant_0143,Healthcare,Medium
MER0144,Merchant_0144,Entertainment,Medium
MER0145,Merchant_0145,Grocery,Small
MER0146,Merchant_0146,E-commerce,Small
MER0147,Merchant_0147,Grocery,Medium
MER0148,Merchant_0148,E-commerce,Small
MER0149,Merchant_0149,Travel,Medium
MER0150,Merchant_0150,Services,Medium
MER0151,Merchant_0151,Services,Medium
MER0152,Merchant_0152,Education,Medium
MER0153,Merchant_0153,Retail,Small
MER0154,Merchant_0154,Healthcare,Enterprise
MER0155,Merchant_0155,Education,Medium
MER0156,Merchant_0156,E-commerce,Small
MER0157,Merchant_0157,E-commerce,Small
MER0158,Merchant_0158,E-commerce,Small
MER0159,Merchant_0159,Food & Dining,Medium
MER0160,Merchant_0160,Travel,Small
MER0161,Merchant_0161,Utilities,Small
MER0162,Merchant_0162,Utilities,Small
MER0163,Merchant_0163,Grocery,Medium
MER0164,Merchant_0164,Utilities,Medium
MER0165,Merchant_0165,Entertainment,Medium
MER0166,Merchant_0166,E-commerce,Large
MER0167,Merchant_0167,Healthcare,Small
MER0168,Merchant_0168,Grocery,Medium
MER0169,Merchant_0169,Healthcare,Small
MER0170,Merchant_0170,Grocery,Medium
MER0171,Merchant_0171,Healthcare,Medium
MER0172,Merchant_0172,E-commerce,Small
MER0173,Merchant_0173,Entertainment,Small
MER0174,Merchant_0174,Entertainment,Large
MER0175,Merchant_0175,Retail,Small
MER0176,Merchant_0176,E-commerce,Small
MER0177,Merchant_0177,Education,Large
MER0178,Merchant_0178,Entertainment,Medium
MER0179,Merchant_0179,Grocery,Medium
MER0180,Merchant_0180,Retail,Large
MER0181,Merchant_0181,Travel,Small
MER0182,Merchant_0182,E-commerce,Small
MER0183,Merchant_0183,E-commerce,Medium
MER0184,Merchant_0184,Food & Dining,Medium
MER0185,Merchant_0185,Retail,Small
MER0186,Merchant_0186,Grocery,Small
MER0187,Merchant_0187,E-commerce,Small
MER0188,Merchant_0188,E-commerce,Large
MER0189,Merchant_0189,Retail,Small
MER0190,Merchant_0190,E-commerce,Large
MER0191,Merchant_0191,Retail,Enterprise
MER0192,Merchant_0192,Services,Medium
MER0193,Merchant_0193,Travel,Medium
MER0194,Merchant_0194,Healthcare,Small
MER0195,Merchant_0195,Utilities,Small
MER0196,Merchant_0196,Healthcare,Medium
MER0197,Merchant_0197,Healthcare,Small
MER0198,Merchant_0198,Travel,Small
MER0199,Merchant_0199,E-commerce,Medium
MER0200,Merchant_0200,Utilities,Medium
MER0201,Merchant_0201,E-commerce,Medium
MER0202,Merchant_0202,Entertainment,Small
MER0203,Merchant_0203,Entertainment,Small
MER0204,Merchant_0204,Healthcare,Medium
MER0205,Merchant_0205,Services,Large
MER0206,Merchant_0206,Retail,Large
MER0207,Merchant_0207,Education,Small
MER0208,Merchant_0208,Services,Small
MER0209,Merchant_0209,Education,Large
MER0210,Merchant_0210,Services,Small
MER0211,Merchant_0211,Travel,Small
MER0212,Merchant_0212,Grocery,Small
MER0213,Merchant_0213,Retail,Medium
MER0214,Merchant_0214,Food & Dining,Small
MER0215,Merchant_0215,E-commerce,Small
MER0216,Merchant_0216,Retail,Medium
MER0217,Merchant_0217,Healthcare,Small
MER0218,Merchant_0218,Services,Medium
MER0219,Merchant_0219,Education,Medium
MER0220,Merchant_0220,E-commerce,Medium
MER0221,Merchant_0221,Retail,Small
MER0222,Merchant_0222,Healthcare,Medium
MER0223,Merchant_0223,Retail,Small
MER0224,Merchant_0224,Grocery,Small
MER0225,Merchant_0225,Grocery,Medium
MER0226,Merchant_0226,Healthcare,Medium
MER0227,Merchant_0227,Services,Small
MER0228,Merchant_0228,Travel,Small
MER0229,Merchant_0229,Education,Small
MER0230,Merchant_0230,Healthcare,Medium
MER0231,Merchant_0231,Grocery,Medium
MER0232,Merchant_0232,E-commerce,Medium
MER0233,Merchant_0233,Services,Medium
MER0234,Merchant_0234,Utilities,Large
MER0235,Merchant_0235,E-commerce,Small
MER0236,Merchant_0236,Education,Small
MER0237,Merchant_0237,Healthcare,Large
MER0238,Merchant_0238,Healthcare,Small
MER0239,Merchant_0239,Grocery,Medium
MER0240,Merchant_0240,Travel,Small
MER0241,Merchant_0241,Grocery,Large
MER0242,Merchant_0242,Grocery,Small
MER0243,Merchant_0243,Utilities,Small
MER0244,Merchant_0244,Travel,Medium
MER0245,Merchant_0245,Travel,Small
MER0246,Merchant_0246,Entertainment,Large
MER0247,Merchant_0247,Travel,Small
MER0248,Merchant_0248,E-commerce,Medium
MER0249,Merchant_0249,E-commerce,Small
MER0250,Merchant_0250,Food & Dining,Large
MER0251,Merchant_0251,Education,Large
MER0252,Merchant_0252,Entertainment,Medium
MER0253,Merchant_0253,Food & Dining,Large
MER0254,Merchant_0254,Travel,Small
MER0255,Merchant_0255,Retail,Large
MER0256,Merchant_0256,E-commerce,Medium
MER0257,Merchant_0257,Entertainment,Large
MER0258,Merchant_0258,Services,Medium
MER0259,Merchant_0259,Entertainment,Small
MER0260,Merchant_0260,E-commerce,Medium
MER0261,Merchant_0261,Education,Small
MER0262,Merchant_0262,Utilities,Medium
MER0263,Merchant_0263,Healthcare,Small
MER0264,Merchant_0264,Utilities,Small
MER0265,Merchant_0265,Services,Enterprise
MER0266,Merchant_0266,Retail,Large
MER0267,Merchant_0267,Food & Dining,Large
MER0268,Merchant_0268,Travel,Medium
MER0269,Merchant_0269,E-commerce,Medium
MER0270,Merchant_0270,Utilities,Medium
MER0271,Merchant_0271,Utilities,Small
MER0272,Merchant_0272,Grocery,Large
MER0273,Merchant_0273,Entertainment,Large
MER0274,Merchant_0274,Food & Dining,Medium
MER0275,Merchant_0275,Education,Large
MER0276,Merchant_0276,Travel,Medium
MER0277,Merchant_0277,Education,Small
MER0278,Merchant_0278,Travel,Large
MER0279,Merchant_0279,Food & Dining,Medium
MER0280,Merchant_0280,Grocery,Medium
MER0281,Merchant_0281,Travel,Small
MER0282,Merchant_0282,Services,Medium
MER0283,Merchant_0283,Grocery,Medium
MER0284,Merchant_0284,Entertainment,Medium
MER0285,Merchant_0285,Retail,Medium
MER0286,Merchant_0286,Retail,Small
MER0287,Merchant_0287,Healthcare,Medium
MER0288,Merchant_0288,Entertainment,Large
MER0289,Merchant_0289,Retail,Small
MER0290,Merchant_0290,Travel,Small
MER0291,Merchant_0291,Healthcare,Small
MER0292,Merchant_0292,Grocery,Large
MER0293,Merchant_0293,Entertainment,Medium
MER0294,Merchant_0294,Travel,Large
MER0295,Merchant_0295,Utilities,Medium
MER0296,Merchant_0296,Retail,Medium
MER0297,Merchant_0297,Services,Medium
MER0298,Merchant_0298,Retail,Small
MER0299,Merchant_0299,Retail,Small
MER0300,Merchant_0300,Travel,Medium
MER0301,Merchant_0301,Retail,Small
MER0302,Merchant_0302,Healthcare,Small
MER0303,Merchant_0303,Education,Small
MER0304,Merchant_0304,Entertainment,Small
MER0305,Merchant_0305,Utilities,Small
MER0306,Merchant_0306,Utilities,Medium
MER0307,Merchant_0307,Grocery,Small
MER0308,Merchant_0308,Travel,Small
MER0309,Merchant_0309,Entertainment,Small
MER0310,Merchant_0310,E-commerce,Medium
MER0311,Merchant_0311,E-commerce,Medium
MER0312,Merchant_0312,Food & Dining,Large
MER0313,Merchant_0313,Entertainment,Large
MER0314,Merchant_0314,Travel,Small
MER0315,Merchant_0315,E-commerce,Small
MER0316,Merchant_0316,Entertainment,Small
MER0317,Merchant_0317,Education,Large
MER0318,Merchant_0318,E-commerce,Medium
MER0319,Merchant_0319,Entertainment,Small
MER0320,Merchant_0320,Utilities,Small
MER0321,Merchant_0321,Healthcare,Medium
MER0322,Merchant_0322,Travel,Small
MER0323,Merchant_0323,Retail,Large
MER0324,Merchant_0324,Utilities,Medium
MER0325,Merchant_0325,Education,Medium
MER0326,Merchant_0326,Travel,Medium
MER0327,Merchant_0327,Food & Dining,Small
MER0328,Merchant_0328,Healthcare,Medium
MER0329,Merchant_0329,Travel,Medium
MER0330,Merchant_0330,Entertainment,Small
MER0331,Merchant_0331,Education,Medium
MER0332,Merchant_0332,Food & Dining,Large
MER0333,Merchant_0333,Services,Small
MER0334,Merchant_0334,Retail,Medium
MER0335,Merchant_0335,Entertainment,Small
MER0336,Merchant_0336,Healthcare,Medium
MER0337,Merchant_0337,Retail,Small
MER0338,Merchant_0338,Retail,Medium
MER0339,Merchant_0339,Education,Small
MER0340,Merchant_0340,Travel,Small
MER0341,Merchant_0341,Utilities,Medium
MER0342,Merchant_0342,Grocery,Medium
MER0343,Merchant_0343,Travel,Large
MER0344,Merchant_0344,Utilities,Medium
MER0345,Merchant_0345,Utilities,Medium
MER0346,Merchant_0346,Healthcare,Medium
MER0347,Merchant_0347,Food & Dining,Small
MER0348,Merchant_0348,Travel,Small
MER0349,Merchant_0349,Food & Dining,Small
